Country,Campaign Type,Channel Type,Channel Name,Phase,Model,Media Cost,Impressions,CPM,Clicks,CTR,CPC,IV,CP IV,Entry Rate,NVWR,CP NVWR,CVR,DCS (pre) Order,CP DCS (pre) Order,Meta_Leads,Cp lead Forms
LU,Always On,Search Engine,SEA Adwords,Conversion,Brand,80.19845000000001,4215.0,19.026915776986954,1404.0,0.3330960854092527,0.05712140313390314,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,NOT MAPPED,10.842699999999999,492.0,22.038008130081298,79.0,0.16056910569105692,0.13724936708860758,60.0,0.18071166666666666,0.759493670886076,1.0,10.842699999999999,0.016666666666666666,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,Multi,7.1361110000000005,405.0,17.620027160493827,57.0,0.14074074074074075,0.1251949298245614,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,S 1000 RR (K67),4.706747,205.0,22.959741463414634,33.0,0.16097560975609757,0.14262869696969696,26.0,0.18102873076923076,0.7878787878787878,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,R 1300 GS (KA1),4.09,235.0,17.404255319148938,27.0,0.1148936170212766,0.15148148148148147,21.0,0.19476190476190475,0.7777777777777778,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,F 900 XR (K84),3.032998,126.0,24.0714126984127,19.0,0.15079365079365079,0.15963147368421052,16.0,0.189562375,0.8421052631578947,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,CE 04 (K07),1.334491,80.0,16.681137500000002,13.0,0.1625,0.10265315384615385,,NaN,0.0,,NaN,NaN,,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,F 900 GS (K81),1.047091,54.0,19.390574074074074,9.0,0.16666666666666666,0.11634344444444444,6.0,0.17451516666666667,0.6666666666666666,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,M 1000 XR (KM9),1.340031,44.0,30.45525,9.0,0.20454545454545456,0.14889233333333332,8.0,0.167503875,0.8888888888888888,0.0,NaN,0.0,0.0,NaN,,NaN
LU,Always On,Search Engine,SEA Adwords,Conversion,S 1000 XR (K69),1.273525,82.0,15.53079268292683,9.0,0.10975609756097561,0.14150277777777778,4.0,0.31838125,0.4444444444444444,0.0,NaN,0.0,0.0,NaN,,NaN
